Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
511,Okaro White\whiteok01,PF,25,MIA,6,4,80,4.4,10.0,.438,2.5,6.9,.364,1.9,3.1,.600,1.3,1.9,.667,1.9,5.0,6.9,1.3,0.6,0.6,0.6,3.8,12.6,,120,110
512,Isaiah Whitehead\whiteis01,PG,22,BRK,16,0,180,10.8,23.2,.465,1.9,4.9,.389,8.9,18.3,.485,3.5,5.1,.684,1.1,5.9,7.0,5.4,2.2,0.5,6.5,6.2,27.0,,90,110
513,Hassan Whiteside\whiteha01,C,28,MIA,54,54,1364,11.5,21.3,.540,0.1,0.1,1.000,11.4,21.2,.538,4.7,6.7,.703,6.4,16.3,22.7,2.0,1.4,3.5,3.4,4.8,27.8,,111,99
514,Andrew Wiggins\wiggian01,SF,22,MIN,82,82,2979,9.6,21.8,.438,1.9,5.7,.331,7.7,16.1,.475,3.4,5.3,.643,1.4,4.6,6.0,2.7,1.5,0.9,2.3,2.7,24.4,,101,113
515,Jacob Wiley\wileyja01,PF,23,BRK,5,0,33,1.5,5.9,.250,1.5,2.9,.500,0.0,2.9,.000,1.5,2.9,.500,2.9,13.2,16.2,2.9,1.5,0.0,0.0,5.9,5.9,,119,108
516,Damien Wilkins\wilkida02,SF,38,IND,19,1,152,4.3,12.8,.333,1.3,5.9,.222,3.0,6.9,.429,1.0,1.3,.750,1.6,3.6,5.3,3.0,0.7,0.3,1.6,2.3,10.9,,89,113
517,Alan Williams\willial03,PF,25,PHO,5,0,70,4.8,12.3,.389,0.0,0.0,,4.8,12.3,.389,4.1,6.2,.667,2.1,13.0,15.0,5.5,3.4,0.7,4.8,8.9,13.7,,86,105
518,C.J. Williams\willicj01,SG,27,LAC,38,17,707,6.0,13.5,.442,1.5,5.4,.282,4.5,8.2,.546,0.9,1.1,.813,0.8,3.0,3.9,3.0,2.1,0.9,1.4,4.3,14.4,,105,111
519,Derrick Williams\willide02,PF,26,LAL,2,0,9,5.3,21.3,.250,0.0,10.6,.000,5.3,10.6,.500,0.0,0.0,,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,10.6,,55,114
520,Lou Williams\willilo02,SG,31,LAC,79,19,2589,10.9,25.1,.435,3.5,9.7,.359,7.4,15.4,.484,8.1,9.2,.880,0.8,3.0,3.7,7.8,1.6,0.4,4.4,2.0,33.5,,112,113
521,Marvin Williams\willima02,PF,31,CHO,78,78,2006,6.3,13.7,.458,3.1,7.4,.413,3.2,6.3,.512,2.5,3.0,.829,1.8,7.2,9.0,2.3,1.4,0.9,1.6,2.8,18.1,,118,109
522,Matt Williams\willima05,SG,24,MIA,3,0,11,9.1,27.4,.333,4.6,22.8,.200,4.6,4.6,1.000,0.0,0.0,,0.0,4.6,4.6,0.0,0.0,0.0,4.6,4.6,22.8,,70,113
523,Troy Williams\willitr02,SF,23,TOT,21,1,307,8.2,17.6,.468,1.8,6.1,.289,6.5,11.5,.563,3.2,4.8,.667,3.6,6.6,10.2,2.6,3.2,0.6,3.1,5.5,21.5,,105,107
523,Troy Williams\willitr02,SF,23,HOU,4,0,17,5.8,26.0,.222,0.0,14.5,.000,5.8,11.6,.500,2.9,8.7,.333,2.9,8.7,11.6,2.9,2.9,0.0,2.9,5.8,14.5,,59,104
523,Troy Williams\willitr02,SF,23,NYK,17,1,290,8.4,17.1,.490,1.9,5.6,.333,6.5,11.5,.567,3.2,4.6,.704,3.6,6.5,10.1,2.6,3.2,0.7,3.1,5.5,21.9,,109,107
524,D.J. Wilson\wilsodj01,PF,21,MIL,22,0,71,6.3,11.2,.563,1.4,3.5,.400,4.9,7.7,.636,0.7,1.4,.500,1.4,5.6,7.0,2.1,2.1,0.7,2.8,4.9,14.7,,104,111
