PLAYER,TEAM,DRIVES
Chris Paul,HOU,11.7
Clint Capela,HOU,1
Cody Zeller,CHA,0.8
Cole Aldrich,MIN,0
Corey Brewer,OKC,1.6
Cory Joseph,IND,6
Courtney Lee,NYK,4
Cristiano Felicio,CHI,0.5
D'Angelo Russell,BKN,9.6
D.J. Augustin,ORL,7.8
D.J. Wilson,MIL,0.3
Dakari Johnson,OKC,0
Damian Jones,GSW,0.1
Damian Lillard,POR,12.6
Damien Wilkins,IND,0.8
Damion Lee,ATL,4.5
Damyean Dotson,NYK,1.2
Daniel Hamilton,OKC,3
Daniel Theis,BOS,0.2
Danilo Gallinari,LAC,5
Danny Green,SAS,3.8
Dante Cunningham,BKN,0.5
Dante Exum,UTA,7.9
Danuel House,PHX,2.4
Dario Saric,PHI,3.7
Darius Miller,NOP,1.8
Darrell Arthur,DEN,0.4
Darren Collison,IND,5.6
Darrun Hilliard,SAS,1.1
David Nwaba,CHI,4.5
David Stockton,UTA,1.7
David West,GSW,0.6
Davis Bertans,SAS,1.2
Davon Reed,PHX,1.5
De'Aaron Fox,SAC,8.4
DeAndre Jordan,LAC,0.1
DeAndre Liggins,NOP,1.4
DeAndre' Bembry,ATL,6.6
DeMar DeRozan,TOR,16.3
DeMarcus Cousins,NOP,9.3
DeMarre Carroll,BKN,5.5
Dejounte Murray,SAS,8.2
Delon Wright,TOR,7
Demetrius Jackson,PHI,2.1
Dennis Schroder,ATL,16.4
Dennis Smith Jr.,DAL,12.7
Denzel Valentine,CHI,4.9
Derrick Favors,UTA,0.2
Derrick Jones Jr.,MIA,0.8
Derrick Rose,MIN,5.1
Derrick Walton Jr.,MIA,0.5
Derrick White,SAS,1.8
Derrick Williams,LAL,0.5
Devin Booker,PHX,10.1
Devin Harris,DEN,5
Devin Robinson,WAS,0
Dewayne Dedmon,ATL,0.4
Deyonta Davis,MEM,0
Dillon Brooks,MEM,5.3
Dion Waiters,MIA,14.7
Dirk Nowitzki,DAL,0.1
Domantas Sabonis,IND,1.6
Donovan Mitchell,UTA,13.3
Dorian Finney-Smith,DAL,1.8
Doug McDermott,DAL,1
Dragan Bender,PHX,1.8
Draymond Green,GSW,2.2
Dwayne Bacon,CHA,1.9
Dwight Buycks,DET,5.8
Dwight Howard,CHA,1.7
Dwight Powell,DAL,0.9
Dwyane Wade,MIA,6.2
E'Twaun Moore,NOP,4.9
Ed Davis,POR,0.4
Edmond Sumner,IND,1
Ekpe Udoh,UTA,0.1
Elfrid Payton,PHX,11.9
Emeka Okafor,NOP,0.1
Emmanuel Mudiay,NYK,7.9
Enes Kanter,NYK,0.4
Eric Bledsoe,MIL,12.2
Eric Gordon,HOU,7.6
Eric Moreland,DET,0.2
Erik McCree,UTA,0
Ersan Ilyasova,PHI,0.9
Evan Fournier,ORL,8.1
Evan Turner,POR,3.5
Frank Kaminsky,CHA,4.4
Frank Mason,SAC,7.3
Frank Ntilikina,NYK,4.5
Fred VanVleet,TOR,8.6
Furkan Korkmaz,PHI,0.6
Garrett Temple,SAC,2.2
Gary Harris,DEN,7.5
Gary Payton II,LAL,1.3
George Hill,CLE,5.1
Georges Niang,UTA,0.8
Georgios Papagiannis,POR,0
Gerald Green,HOU,2.5
Gian Clavell,DAL,0.7
Giannis Antetokounmpo,MIL,11
Glenn Robinson III,IND,1.3
Goran Dragic,MIA,14.6
Gordon Hayward,BOS,0
Gorgui Dieng,MIN,0.5
